Name,Gender,Age,City,Tenure,ProductsNo,HasCard,ActiveMember,Credit,AccountBal,Salary,Exited
Kan Jian,Female,40,Beijing,9,2,0,1,516,6360.66,0,0
Xue Baochai,Male,69,Beijing,6,2,0,1,682,28605,0,0
Mao Xi,Female,32,Beijing,9,1,1,1,803,10378.09,236311.0932,1
Zheng Nengliang,Female,37,Tianjin,0,2,1,1,778,25564.01,129909.8079,1
Zhi Fen,Male,55,Tianjin,4,3,1,0,547,3235.61,136976.1948,1
Wo Bai,Male,36,Beijing,5,2,1,0,541,23861.53,0,0
Xue Baochai,Female,42,Tianjin,1,1,1,0,651,8552.92,143475.5148,1
Qiu Liwei,Female,39,Shanghai,4,2,1,0,577,17469.67,0,0
San Shaneshi,Female,37,Shanghai,6,1,1,0,626,1070.35,133171.3251,0
Er Shazi,Female,38,Beijing,8,2,0,1,592,3703.77,146711.9523,0
Sheng Shiwu,Female,46,Beijing,6,2,0,0,643,20417.13,0,0
Qi Hui,Male,29,Beijing,3,1,1,1,699,28991.14,154597.8267,0
Tian Tian,Female,74,Tianjin,1,2,1,1,461,37622.91,229327.7313,0
Ye Xu,Male,39,Beijing,9,2,1,0,740,3641.91,0,0
Qu Bo,Male,37,Tianjin,3,2,1,1,634,31937.37,137062.3071,0
Hao Ya,Female,39,Beijing,9,1,1,1,556,18144.95,110193.6705,0
Jia Baoyu,Female,38,Beijing,6,1,1,1,667,14142.09,177651.4092,1
Zen Meban,Female,38,Beijing,2,1,0,1,591,22875.49,175015.8144,0
Shei Zhidao,Male,38,Tianjin,2,2,1,1,432,13739.25,166738.554,0
Sheng Shiwu,Female,44,Tianjin,5,1,0,1,850,32714.37,158184.5436,0
Te kepa,Female,30,Tianjin,10,2,0,1,492,28049.75,94917.7101,0
Te kepa,Female,62,Tianjin,8,1,1,0,612,36986.21,173116.7559,1
Ren Gui,Male,31,Shanghai,8,2,1,1,729,1829.32,202791.0963,0
Wo Bai,Male,46,Beijing,5,2,1,0,722,34399.37,0,0
We Maoqian,Female,39,Tianjin,4,2,1,0,686,31132.04,194009.868,0
Li Hong,Male,23,Beijing,2,2,1,0,757,17971.63,99228.9708,0
Bao Qiao,Male,38,Beijing,2,1,0,0,535,37456.32,146704.9167,1
Zhong Guoren,Male,35,Tianjin,1,1,1,1,671,34227.97,178163.9502,0
Lin Daiyu,Male,37,Beijing,7,1,1,0,709,30494.6,0,0
Zheng Nengliang,Male,33,Beijing,6,2,0,0,628,35225.66,0,0
Li Zhi,Female,42,Beijing,7,3,0,0,736,8015.49,144254.6829,1
Guan Yu,Male,32,Shanghai,3,1,1,0,790,17408.12,0,0
Wu Zhihui,Female,28,Beijing,9,2,1,1,850,31522.88,0,0
Si Shiba,Female,37,Tianjin,7,2,0,1,641,7460.12,77458.8072,0
Ba Qiu,Male,32,Beijing,9,2,1,1,628,3136.15,183437.6613,0
Hao Ya,Female,39,Beijing,7,2,1,0,585,459.13,0,0
Cuo De,Female,37,Beijing,1,2,1,1,645,13190.73,0,0
We Po,Male,42,Beijing,7,1,1,1,654,12926.94,122093.6007,0
Zhang Jia,Male,24,Tianjin,1,1,1,0,580,3286.03,164588.4894,1
Di Shioing,Female,36,Beijing,2,1,1,1,655,16790.98,180993.9957,0
Zhang Ming,Female,28,Tianjin,8,1,1,1,630,3890.02,130903.6725,0
Zhang Ming,Male,31,Beijing,7,1,1,0,558,37909.95,0,0
Ren Shi,Male,71,Beijing,3,1,1,1,632,5276.81,102233.5164,0
Ren Gui,Male,67,Tianjin,7,1,0,1,636,12763.49,168152.5005,1
Zhang De,Male,26,Beijing,3,1,1,1,466,26286.05,192883.3233,0
Wo Shishei,Male,41,Beijing,3,2,1,1,711,37045.42,0,0
Zhang Jie,Female,42,Beijing,5,2,1,0,468,23958.95,0,0
Tan Anwen,Male,36,Beijing,1,2,1,1,803,28560.4,0,0
Zhen Haowao,Male,31,Beijing,1,2,1,0,850,20369.81,118571.1513,0
Wu Baige,Female,26,Beijing,1,1,0,1,748,34999.88,95669.7567,0
Tian Tian,Male,21,Beijing,4,2,0,0,723,4750.86,0,0
Zhuan Ji,Male,33,Shanghai,3,1,1,0,512,18101.48,217299.9426,0
Zhen Haowao,Male,25,Beijing,5,2,1,0,581,28741.77,95800.4319,0
Na De,Male,29,Beijing,2,2,1,1,738,32585.3,0,0
Ping Shide,Female,32,Shanghai,2,1,1,1,654,9937.46,0,1
Xue Baochai,Male,41,Shanghai,4,2,1,0,731,4263.72,0,0
Jia Shuji,Female,36,Beijing,6,1,0,1,605,132.09,0,0
Huang Zuihao,Female,43,Beijing,5,3,1,1,598,19258.64,0,1
Sheng Shiwu,Male,35,Beijing,9,1,0,0,636,32368.4,117438.1491,0
Dao Lema,Male,25,Tianjin,10,2,1,0,558,37717.84,136976.613,0
Yu Laoren,Female,54,Tianjin,6,1,1,0,583,11004.58,142666.2978,1
Li Si,Male,37,Tianjin,7,2,1,0,712,11596.89,115594.1208,0
Yi zhi,Male,29,Beijing,2,2,1,0,720,7633.94,0,0
Guo Hechai,Female,26,Beijing,4,2,1,1,803,34647.89,0,0
Si Shi,Female,35,Beijing,8,1,0,1,706,8065.33,218980.0119,0
Lang Ping,Male,30,Beijing,7,1,0,0,743,27611.3,95447.0529,0
Zhao Lao,Male,38,Shanghai,7,2,1,0,631,34723.87,0,0
San Shaneshi,Female,28,Beijing,6,2,0,0,605,30498.76,0,0
La Ma,Female,33,Beijing,9,1,0,0,612,27303.53,0,1
Te Ke,Female,19,Beijing,3,2,1,1,781,23766.21,0,0
